timestamp,open,high,low,close,volume
2018-04-24,27.2100,27.3500,26.5500,26.6800,3072508
2018-04-23,27.2400,27.4200,27.0400,27.1300,3751610
2018-04-20,26.3500,27.1400,26.2500,27.1000,4036059
2018-04-19,26.6300,26.6550,25.8900,26.3300,1906419
2018-04-18,26.5500,26.8600,26.4400,26.6900,2518505
2018-04-17,26.6600,26.8950,26.3000,26.4600,2909796
2018-04-16,26.2800,26.6050,26.1050,26.4400,2059168
2018-04-13,26.3900,26.6800,25.9900,26.0500,1856683
2018-04-12,26.0600,26.5400,25.8400,26.2700,2533903
2018-04-11,25.7000,26.1750,25.7000,25.8900,2311668
2018-04-10,25.7100,26.0600,25.4600,25.7800,5461035
2018-04-09,25.6600,25.7400,25.2800,25.3400,1480147
2018-04-06,25.6100,25.8800,25.1800,25.5100,2693479
2018-04-05,25.9300,26.1400,25.6200,25.8400,2349870
2018-04-04,24.9800,25.7400,24.8800,25.6700,2051175
2018-04-03,24.7700,25.3850,24.6800,25.3300,2155032
2018-04-02,25.3000,25.4300,24.2950,24.5700,4152973
2018-03-29,25.2600,25.6500,25.2600,25.4100,1856958
2018-03-28,25.1000,25.3750,24.8150,25.1500,2548365
2018-03-27,25.8000,25.8700,24.9200,25.0600,2789012
2018-03-26,25.6800,25.9700,25.5600,25.7900,3268064
2018-03-23,25.3400,25.8500,25.2600,25.5000,3484991
2018-03-22,25.6700,25.7900,25.1800,25.1900,2242970
2018-03-21,26.1500,26.2700,25.7600,25.8400,1953479
2018-03-20,26.1700,26.3050,25.9400,26.2000,2963659
2018-03-19,26.9800,27.0700,26.0800,26.0900,4347061
2018-03-16,26.6700,27.2200,26.5400,27.0500,5135173
2018-03-15,26.6400,26.8250,26.2500,26.7100,3790422
2018-03-14,27.2200,27.3600,26.5500,26.6200,3914989
2018-03-13,27.8200,27.9400,27.0800,27.1900,3276325
2018-03-12,27.5300,27.9100,27.4250,27.7800,3940794
2018-03-09,27.7900,27.7900,26.8150,27.6900,5331338
2018-03-08,28.8300,28.9000,27.6075,27.6700,5450812
2018-03-07,28.8900,29.4700,28.0200,28.7300,9447921
2018-03-06,25.9600,26.1699,25.6000,25.7700,5145843
2018-03-05,24.8700,25.9400,24.8700,25.8000,8492080
2018-03-02,24.8800,24.9300,24.5000,24.6900,4221598
2018-03-01,25.3300,25.4300,24.7000,25.1300,4092897
2018-02-28,25.9300,26.1600,25.3200,25.3300,3461567
2018-02-27,26.9200,27.0200,25.9300,25.9300,2704846
2018-02-26,26.8800,27.1800,26.7600,26.8700,4531970
2018-02-23,26.1400,26.9100,26.1300,26.8200,2272160
2018-02-22,26.5400,26.6500,26.1200,26.1500,2964113
2018-02-21,27.2300,27.2900,26.4100,26.4100,2988100
2018-02-20,27.8300,28.1200,27.0700,27.1700,4866664
2018-02-16,27.4850,28.4950,27.3100,28.0400,3459642
2018-02-15,27.1000,27.7700,27.0500,27.5600,4689505
2018-02-14,25.8000,26.9700,25.7600,26.9400,3395203
2018-02-13,25.1300,26.0800,25.1200,25.9100,2710428
2018-02-12,25.0000,25.3500,24.8700,25.1300,4985141
2018-02-09,25.3600,25.6900,24.2500,24.9200,4746167
2018-02-08,25.6800,25.7700,25.1800,25.1900,2509272
2018-02-07,25.0400,25.9100,25.0000,25.7400,3764352
2018-02-06,24.0100,25.3300,23.8000,25.1700,4363505
2018-02-05,25.3100,25.4200,24.4100,24.4700,3877205
2018-02-02,26.0300,26.1000,25.4500,25.4600,2862757
2018-02-01,26.5200,26.6100,25.8300,26.1500,2517465
2018-01-31,26.5400,26.7150,26.3700,26.5400,3100045
2018-01-30,26.7000,26.7200,26.1100,26.4400,2846129
2018-01-29,26.7100,26.9300,26.5450,26.8300,2059996
2018-01-26,26.8800,26.8900,26.4300,26.7200,2723034
2018-01-25,27.0500,27.1800,26.5400,26.8200,2896285
2018-01-24,27.6700,27.7000,26.9200,27.1600,4155727
2018-01-23,27.7000,28.3550,27.0100,27.5300,5765206
2018-01-22,26.3400,26.7300,26.1200,26.4800,3397921
